"","BioHub_Name","Plate","Well","Column","Project","SampleType","Mouse","Date","Day","Isolator","Isolator_2","Community","MouseType","Isolate","Isolate_Source","Diet","DNA.Extracted","S_Number","dedup","hostRemoved","raw"
"45","m3g1_p3_A10_Day0_Gavage_",3,"A",10,"m3g1",NA,"","",NA,NA,NA,"syn_Stool","","","","","","S202",30182033,30179262,350886530
"46","m3g1_p3_A9_Day0_Gavage_",3,"A",9,"m3g1",NA,"","",NA,NA,NA,"syn_SI","","","","","","S201",22749484,22746199,207505692
"47","m3g2_p3_A11_Day0_Gavage_",3,"A",11,"m3g2",NA,"","",NA,NA,NA,"syn_SI","","","","","","S203",27543989,27542629,295395599
"48","m3g2_p3_A12_Day0_Gavage_",3,"A",12,"m3g2",NA,"","",NA,NA,NA,"syn_Stool","","","","","","S204",625493,625486,738081
"49","m3g2_p3_B1_Day0_Gavage_",3,"B",1,"m3g2",NA,"","",NA,NA,NA,"Complete","","","","","","S205",23984161,23982821,231012559
"50","MouseExp2_p3_A7_Day0_Gavage_",3,"A",7,"MouseExp2",NA,"","",NA,NA,NA,"Small_Intestine","","","","","","S199",31263687,31263184,312928653
"51","MouseExp2_p3_A8_Day0_Gavage_",3,"A",8,"MouseExp2",NA,"","",NA,NA,NA,"Stool","","","","","","S200",26925776,26925404,276516854
"52","MouseExp3_p2_A10_Proximal_m4Normal",2,"A",10,"MouseExp3","Proximal","m4","4.20.22",NA,NA,NA,"syn_Stool_syn_SI","SW","","","Normal","","S106",11283528,2058369,118616816
"53","MouseExp3_p2_A11_Mid_m4Normal",2,"A",11,"MouseExp3","Mid","m4","4.20.22",NA,NA,NA,"syn_Stool_syn_SI","SW","","","Normal","","S107",13494694,12922045,115002804
"54","MouseExp3_p2_A12_Distal_m4Normal",2,"A",12,"MouseExp3","Distal","m4","4.20.22",NA,NA,NA,"syn_Stool_syn_SI","SW","","","Normal","","S108",5212378,1515027,41780769
"55","MouseExp3_p2_A1_Proximal_m1Normal",2,"A",1,"MouseExp3","Proximal","m1","4.20.22",NA,NA,NA,"syn_Stool_syn_SI","SW","","","Normal","","S97",14839954,3468305,127240798
"56","MouseExp3_p2_A2_Mid_m1Normal",2,"A",2,"MouseExp3","Mid","m1","4.20.22",NA,NA,NA,"syn_Stool_syn_SI","SW","","","Normal","","S98",5477695,3513242,46952048
"57","MouseExp3_p2_A3_Distal_m1Normal",2,"A",3,"MouseExp3","Distal","m1","4.20.22",NA,NA,NA,"syn_Stool_syn_SI","SW","","","Normal","","S99",9326392,8246142,72344914
"58","MouseExp3_p2_A4_Proximal_m2Normal",2,"A",4,"MouseExp3","Proximal","m2","4.20.22",NA,NA,NA,"syn_Stool_syn_SI","SW","","","Normal","","S100",10139891,4499726,86561431
"59","MouseExp3_p2_A5_Mid_m2Normal",2,"A",5,"MouseExp3","Mid","m2","4.20.22",NA,NA,NA,"syn_Stool_syn_SI","SW","","","Normal","","S101",9522841,5647604,82967597
"60","MouseExp3_p2_A6_Distal_m2Normal",2,"A",6,"MouseExp3","Distal","m2","4.20.22",NA,NA,NA,"syn_Stool_syn_SI","SW","","","Normal","","S102",14343470,2016849,140487532
"61","MouseExp3_p2_A7_Proximal_m3Normal",2,"A",7,"MouseExp3","Proximal","m3","4.20.22",NA,NA,NA,"syn_Stool_syn_SI","SW","","","Normal","","S103",11957317,2977528,95813628
"62","MouseExp3_p2_A8_Mid_m3Normal",2,"A",8,"MouseExp3","Mid","m3","4.20.22",NA,NA,NA,"syn_Stool_syn_SI","SW","","","Normal","","S104",8550388,6803351,94145739
"63","MouseExp3_p2_A9_Distal_m3Normal",2,"A",9,"MouseExp3","Distal","m3","4.20.22",NA,NA,NA,"syn_Stool_syn_SI","SW","","","Normal","","S105",5944356,4055107,47282663
"64","MouseExp3_p2_B10_Proximal_m8Normal",2,"B",10,"MouseExp3","Proximal","m8","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","Normal","","S118",32376,2270,149441
"65","MouseExp3_p2_B11_Mid_m8Normal",2,"B",11,"MouseExp3","Mid","m8","4.20.22",NA,NA,NA,"syn_SI_syn_Stool","SW","","","Normal","","S119",2742090,372130,14181661
